friday,monday,btc_friday_1600_et,btc_monday_0930_et,scan_btc_return_pct
2025-08-15,2025-08-18,116997.52,115728.58,-1.0845870921024625
2024-10-18,2024-10-21,68606.2,67879.54,-1.0591754098026152
2024-12-20,2024-12-23,96362.56,95403.44,-0.9953243251320743
2026-03-06,2026-03-09,68099.45,68770.0,0.9846628717265826
2024-04-12,2024-04-15,66855.71,66219.38,-0.9517960395604264
2025-06-27,2025-06-30,106849.52,107855.88,0.9418479371736899
2024-02-02,2024-02-05,42935.22,43335.0,0.9311236788818178
2025-12-12,2025-12-15,90220.0,89393.66,-0.9159166481933045
2025-05-09,2025-05-12,103240.53,104172.93,0.9031336820917168
2026-03-20,2026-03-23,70169.39,70793.15,0.8889346194971726
2024-11-01,2024-11-04,69206.18,68603.95,-0.8701968523620263
2025-08-01,2025-08-04,113236.47,114188.92,0.8411159408271862
2026-08-14,2026-08-17,62893.08,63412.31,0.8255757231161232
2024-09-20,2024-09-23,62806.91,63309.36,0.7999915932816792
2025-07-18,2025-07-21,117426.36,118333.97,0.7729184486345408
2025-01-03,2025-01-06,98297.65,99032.1,0.7471694389438621
2026-05-01,2026-05-04,78373.61,78952.6,0.7387563237166273
2026-09-11,2026-09-14,77266.12,77826.55,0.725324372441638
2026-08-28,2026-08-31,77558.06,78029.76,0.6081895292378237
2026-07-17,2026-07-20,64116.72,64495.21,0.590314039769968
2024-07-19,2024-07-22,67207.36,67595.86,0.5780616884817347
2025-05-30,2025-06-02,104647.14,104060.06,-0.5610091207461587
2024-02-23,2024-02-26,51081.42,51367.01,0.5590878248882047
2025-09-05,2025-09-08,111630.21,112200.05,0.5104711350090607
2025-02-21,2025-02-24,94924.97,95399.83,0.5002477219639978
2026-07-31,2026-08-03,62903.66,62685.42,-0.34694324622764894
2025-04-25,2025-04-28,95434.06,95106.71,-0.3430117088175755
2026-06-26,2026-06-29,59668.5,59868.52,0.33521875026185644
2024-08-23,2024-08-26,63644.8,63821.25,0.27724181708481677
2024-06-14,2024-06-17,65470.77,65644.55,0.2654314284069148
2025-11-14,2025-11-17,94294.95,94069.43,-0.23916445154273935
2024-06-07,2024-06-10,69209.96,69309.8,0.14425669368973715
2024-05-17,2024-05-20,67100.56,67007.52,-0.13865756112914074
2026-04-24,2026-04-27,77657.01,77713.79,0.07311638704605716
2026-08-07,2026-08-10,64914.8,64869.26,-0.0701534935022563
2026-01-09,2026-01-12,90188.01,90155.61,-0.035924952773647156
2026-02-27,2026-03-02,65589.03,65572.9,-0.024592527134503772
2025-12-26,2025-12-29,87494.04,87506.96,0.014766720110315212
2024-01-26,2024-01-29,41967.75,41968.65,0.002144503815437737
